START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
03/31/22,11:10 AM,02:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",03/31/22,03/31/22,02:10 PM,05:10 PM,FALSE,TRUE,03/31/22,10:10 AM,01:10 PM,FREE,BUSY
04/01/22,05:10 PM,08:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",04/01/22,04/01/22,08:10 PM,11:10 PM,FALSE,TRUE,04/01/22,04:10 PM,07:10 PM,FREE,BUSY
04/02/22,04:10 PM,07:10 PM,D-backs at Brewers,American Family Field - Milwaukee,"",04/02/22,04/02/22,07:10 PM,10:10 PM,FALSE,TRUE,04/02/22,03:10 PM,06:10 PM,FREE,BUSY
04/04/22,,,D-backs at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",04/04/22,04/04/22,,,FALSE,TRUE,04/04/22,,,FREE,BUSY
04/05/22,,,D-backs at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",04/05/22,04/05/22,,,FALSE,TRUE,04/05/22,,,FREE,BUSY
04/06/22,,,D-backs at Dodgers - Time TBD,Dodger Stadium - Los Angeles,"",04/06/22,04/06/22,,,FALSE,TRUE,04/06/22,,,FREE,BUSY
04/07/22,,,Padres at D-backs - Time TBD,Chase Field - Phoenix,"",04/07/22,04/07/22,,,FALSE,TRUE,04/07/22,,,FREE,BUSY
04/08/22,,,Padres at D-backs - Time TBD,Chase Field - Phoenix,"",04/08/22,04/08/22,,,FALSE,TRUE,04/08/22,,,FREE,BUSY
04/09/22,,,Padres at D-backs - Time TBD,Chase Field - Phoenix,"",04/09/22,04/09/22,,,FALSE,TRUE,04/09/22,,,FREE,BUSY
04/10/22,,,Padres at D-backs - Time TBD,Chase Field - Phoenix,"",04/10/22,04/10/22,,,FALSE,TRUE,04/10/22,,,FREE,BUSY
04/12/22,,,Astros at D-backs - Time TBD,Chase Field - Phoenix,"",04/12/22,04/12/22,,,FALSE,TRUE,04/12/22,,,FREE,BUSY
04/13/22,,,Astros at D-backs - Time TBD,Chase Field - Phoenix,"",04/13/22,04/13/22,,,FALSE,TRUE,04/13/22,,,FREE,BUSY
04/15/22,04:10 PM,07:10 PM,D-backs at Mets,Citi Field - Flushing,"",04/15/22,04/15/22,07:10 PM,10:10 PM,FALSE,TRUE,04/15/22,03:10 PM,06:10 PM,FREE,BUSY
04/16/22,10:10 AM,01:10 PM,D-backs at Mets,Citi Field - Flushing,"",04/16/22,04/16/22,01:10 PM,04:10 PM,FALSE,TRUE,04/16/22,09:10 AM,12:10 PM,FREE,BUSY
04/17/22,10:10 AM,01:10 PM,D-backs at Mets,Citi Field - Flushing,"",04/17/22,04/17/22,01:10 PM,04:10 PM,FALSE,TRUE,04/17/22,09:10 AM,12:10 PM,FREE,BUSY
04/18/22,,,D-backs at Nationals - Time TBD,Nationals Park - Washington,"",04/18/22,04/18/22,,,FALSE,TRUE,04/18/22,,,FREE,BUSY
04/19/22,,,D-backs at Nationals - Time TBD,Nationals Park - Washington,"",04/19/22,04/19/22,,,FALSE,TRUE,04/19/22,,,FREE,BUSY
04/20/22,,,D-backs at Nationals - Time TBD,Nationals Park - Washington,"",04/20/22,04/20/22,,,FALSE,TRUE,04/20/22,,,FREE,BUSY
04/21/22,,,D-backs at Nationals - Time TBD,Nationals Park - Washington,"",04/21/22,04/21/22,,,FALSE,TRUE,04/21/22,,,FREE,BUSY
04/22/22,,,Mets at D-backs - Time TBD,Chase Field - Phoenix,"",04/22/22,04/22/22,,,FALSE,TRUE,04/22/22,,,FREE,BUSY
04/23/22,,,Mets at D-backs - Time TBD,Chase Field - Phoenix,"",04/23/22,04/23/22,,,FALSE,TRUE,04/23/22,,,FREE,BUSY
